order_id,customer_id,order_date,order_status,payment_method
1,1,2023-01-29,completed,upi
2,1,2023-01-27,completed,net_banking
3,1,2023-04-16,completed,upi
4,1,2023-05-10,completed,upi
5,1,2023-05-08,completed,upi
6,1,2024-09-11,completed,net_banking
7,1,2024-11-12,completed,net_banking
8,2,2023-11-09,completed,upi
9,2,2024-06-15,completed,credit_card
10,2,2024-06-01,completed,upi
11,2,2024-09-17,completed,debit_card
12,2,2024-11-13,completed,wallet
13,3,2024-07-19,completed,credit_card
14,3,2024-11-01,completed,net_banking
15,3,2024-11-05,completed,wallet
16,3,2024-12-09,completed,upi
17,4,2023-08-02,completed,debit_card
18,4,2023-08-13,completed,debit_card
19,4,2023-10-13,completed,debit_card
20,4,2023-11-14,completed,upi
21,4,2023-11-10,completed,credit_card
22,4,2023-11-29,cancelled,net_banking
23,4,2023-12-18,completed,credit_card
24,4,2024-05-09,completed,upi
25,4,2024-05-27,completed,wallet
26,4,2024-05-24,completed,debit_card
27,4,2024-09-14,completed,upi
28,4,2024-10-02,completed,debit_card
29,4,2024-10-01,completed,wallet
30,4,2024-10-12,completed,net_banking
31,5,2024-07-10,completed,debit_card
32,5,2024-08-31,completed,net_banking
33,6,2024-08-16,returned,net_banking
34,8,2024-07-09,completed,credit_card
35,9,2023-02-22,completed,credit_card
36,9,2023-09-05,cancelled,credit_card
37,9,2023-09-29,completed,net_banking
38,9,2024-04-06,completed,wallet
39,9,2024-04-14,completed,credit_card
40,10,2024-01-02,completed,debit_card
41,10,2024-01-17,completed,debit_card
42,10,2024-05-22,completed,wallet
43,10,2024-05-08,completed,net_banking
44,10,2024-05-22,completed,upi
45,10,2024-10-03,completed,debit_card
46,12,2023-07-16,returned,wallet
47,13,2024-09-19,completed,debit_card
48,14,2024-04-21,completed,upi
49,15,2024-10-11,returned,upi
50,15,2024-12-19,completed,debit_card
51,18,2023-05-04,completed,net_banking
52,18,2023-06-17,completed,net_banking
53,18,2023-06-29,completed,credit_card
54,18,2023-06-09,completed,upi
55,18,2023-07-23,completed,credit_card
56,18,2023-08-28,completed,credit_card
57,18,2023-11-06,completed,debit_card
58,18,2024-03-16,completed,debit_card
59,18,2024-04-08,completed,wallet
60,19,2024-09-03,completed,upi
61,21,2024-10-24,completed,net_banking
62,21,2024-11-02,cancelled,net_banking
63,21,2024-11-30,completed,credit_card
64,21,2024-12-01,completed,wallet
65,22,2023-12-30,completed,net_banking
66,22,2024-03-30,completed,wallet
67,22,2024-09-24,completed,credit_card
68,24,2024-10-16,completed,wallet
69,25,2024-03-06,completed,credit_card
70,26,2024-11-06,completed,wallet
71,26,2024-11-06,completed,upi
72,26,2024-12-02,completed,debit_card
73,27,2024-02-20,completed,debit_card
74,28,2023-02-20,completed,debit_card
75,28,2023-03-25,completed,upi
76,28,2023-07-27,completed,upi
77,28,2023-12-26,completed,upi
78,28,2023-12-14,completed,credit_card
79,29,2023-07-11,completed,wallet
80,29,2024-04-08,completed,wallet
81,29,2024-05-02,cancelled,upi
82,29,2024-11-14,completed,debit_card
83,31,2024-05-27,completed,credit_card
84,32,2024-10-21,completed,net_banking
85,32,2024-10-21,returned,debit_card
86,32,2024-12-12,completed,net_banking
87,32,2024-12-24,completed,net_banking
88,32,2024-12-24,completed,upi
89,33,2023-07-27,completed,debit_card
90,33,2023-08-09,completed,debit_card
91,33,2023-09-10,completed,credit_card
92,33,2023-09-11,completed,debit_card
93,33,2023-09-30,completed,upi
94,33,2023-11-11,completed,credit_card
95,33,2024-02-06,completed,wallet
96,33,2024-03-26,completed,debit_card
97,35,2024-03-17,completed,upi
98,35,2024-08-07,completed,credit_card
99,35,2024-11-22,completed,debit_card
100,36,2023-10-15,completed,credit_card
101,36,2023-12-15,completed,debit_card
102,37,2023-05-31,completed,debit_card
103,37,2023-07-01,completed,wallet
104,40,2024-05-25,completed,credit_card
105,40,2024-05-12,completed,wallet
106,40,2024-06-06,completed,credit_card
107,40,2024-09-24,completed,debit_card
108,40,2024-10-06,completed,net_banking
109,40,2024-11-04,completed,debit_card
110,40,2024-11-20,completed,wallet
111,40,2024-12-07,cancelled,credit_card
112,41,2024-07-23,completed,credit_card
113,41,2024-07-24,completed,credit_card
114,41,2024-08-11,completed,debit_card
115,41,2024-08-07,completed,debit_card
116,41,2024-09-24,completed,credit_card
117,41,2024-12-06,completed,wallet
118,42,2023-02-26,completed,upi
119,42,2023-05-30,completed,upi
120,42,2023-05-16,completed,credit_card
121,42,2023-09-02,completed,upi
122,42,2023-09-09,completed,net_banking
123,42,2023-09-27,completed,wallet
124,42,2024-04-02,completed,credit_card
125,42,2024-05-18,completed,credit_card
126,42,2024-06-21,completed,upi
127,42,2024-06-24,completed,wallet
128,42,2024-09-10,cancelled,upi
129,42,2024-12-12,cancelled,upi
130,44,2024-06-08,completed,upi
131,44,2024-10-23,completed,upi
132,45,2024-09-07,completed,credit_card
133,45,2024-10-14,completed,credit_card
134,46,2024-03-06,completed,credit_card
135,47,2024-11-20,completed,net_banking
136,48,2023-11-11,completed,net_banking
137,48,2023-12-14,completed,upi
138,48,2023-12-14,cancelled,credit_card
139,48,2023-12-23,completed,debit_card
140,48,2024-02-24,completed,debit_card
141,48,2024-02-06,completed,credit_card
142,48,2024-03-18,completed,wallet
143,48,2024-06-04,completed,net_banking
144,48,2024-06-19,completed,credit_card
145,48,2024-07-20,completed,wallet
146,48,2024-07-17,completed,wallet
147,49,2023-07-27,completed,debit_card
148,49,2023-07-18,completed,net_banking
149,49,2023-08-15,completed,debit_card
150,49,2024-01-27,returned,credit_card
151,49,2024-06-22,completed,wallet
152,49,2024-06-22,completed,debit_card
153,49,2024-07-01,completed,debit_card
154,49,2024-08-22,completed,wallet
155,49,2024-08-20,completed,upi
156,51,2024-12-02,completed,net_banking
157,52,2023-05-28,completed,net_banking
158,52,2023-05-15,completed,debit_card
159,52,2023-11-06,completed,credit_card
160,52,2024-05-22,completed,upi
161,52,2024-06-09,completed,credit_card
162,53,2023-12-27,completed,credit_card
163,54,2024-12-23,completed,net_banking
164,55,2024-05-12,completed,debit_card
165,55,2024-06-22,completed,net_banking
166,55,2024-07-21,completed,debit_card
167,55,2024-08-15,completed,credit_card
168,55,2024-10-27,completed,wallet
169,55,2024-11-21,completed,upi
170,55,2024-12-07,completed,debit_card
171,56,2024-06-29,completed,net_banking
172,56,2024-06-29,completed,wallet
173,56,2024-07-06,completed,debit_card
174,56,2024-11-04,completed,wallet
175,56,2024-11-19,completed,debit_card
176,56,2024-11-26,completed,debit_card
177,56,2024-12-30,completed,wallet
178,56,2024-12-23,completed,wallet
179,57,2024-10-10,completed,credit_card
180,58,2024-09-24,completed,wallet
181,59,2023-08-24,completed,debit_card
182,59,2023-08-16,completed,net_banking
