customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,segment
2874,728,1,690.54,1,1,1,Lost
4154,686,1,182.61,1,1,1,Lost
302,672,1,533.07,1,1,1,Lost
2425,659,1,911.76,1,1,2,Lost
4167,655,1,337.01,1,1,1,Lost
722,653,1,45.86,1,1,1,Lost
472,638,1,310.75,1,1,1,Lost
1390,636,1,678.27,1,1,1,Lost
2541,631,1,372.7,1,1,1,Lost
3369,619,2,621.77,1,2,1,Lost
2188,603,1,938.33,1,1,2,Lost
2363,585,1,907.08,1,1,2,Lost
931,571,2,1240.92,1,2,2,Lost
4348,569,1,940.63,1,1,2,Lost
1779,567,1,220.42,1,1,1,Lost
782,561,1,1641.39,1,1,2,Lost
1753,552,1,258.48,1,1,1,Lost
843,552,1,648.48,1,1,1,Lost
430,551,1,2170.42,1,1,2,Lost
4479,551,2,3051.64,1,2,3,Potential
456,549,1,963.91,1,1,2,Lost
37,549,2,1047.52,1,2,2,Lost
2264,545,1,642.38,1,1,1,Lost
4129,543,2,833.55,1,2,1,Lost
2925,536,5,2615.4,1,3,3,At Risk
933,531,1,138.12,1,1,1,Lost
4571,526,1,1739.12,1,1,2,Lost
2519,520,1,215.47,1,1,1,Lost
4206,517,1,864.62,1,1,2,Lost
3375,512,1,84.22,1,1,1,Lost
4892,510,1,548.43,1,1,1,Lost
761,504,1,123.41,1,1,1,Lost
4033,503,1,38.82,1,1,1,Lost
2548,501,1,733.28,1,1,1,Lost
59,495,2,421.49,1,1,1,Lost
1817,492,1,2861.34,1,1,3,Potential
2302,492,2,746.39,1,2,1,Lost
1535,491,1,1263.27,1,1,2,Lost
3202,489,2,1202.14,1,2,2,Lost
4005,489,2,2496.39,1,2,3,Potential
2258,488,1,54.48,1,1,1,Lost
741,488,1,589.74,1,1,1,Lost
1785,487,2,688.8,1,2,1,Lost
802,486,1,381.06,1,1,1,Lost
2413,486,1,660.71,1,1,1,Lost
978,486,1,1433.98,1,1,2,Lost
4771,485,1,206.34,1,1,1,Lost
1124,479,1,1413.54,1,1,2,Lost
2075,477,1,428.36,1,1,1,Lost
1547,477,1,506.74,1,1,1,Lost
3866,470,1,498.54,1,1,1,Lost
4676,469,1,157.73,1,1,1,Lost
3575,465,1,774.07,1,1,1,Lost
1797,464,3,1968.75,1,2,2,Lost
1264,461,1,507.06,1,1,1,Lost
4940,461,2,711.37,1,2,1,Lost
3996,459,2,317.83,1,1,1,Lost
3737,457,1,440.71,1,1,1,Lost
1824,449,2,2658.12,1,2,3,Potential
2428,446,2,893.94,1,2,2,Lost
2433,443,4,3042.56,1,3,3,At Risk
3443,442,3,2118.01,1,2,2,Lost
2600,441,2,1770.95,1,2,2,Lost
1576,441,5,3833.65,1,3,3,At Risk
2504,440,1,1466.18,1,1,2,Lost
311,439,5,7004.83,1,3,4,At Risk
1842,435,1,85.5,1,1,1,Lost
1720,435,1,906.16,1,1,2,Lost
1869,432,2,2813.05,1,2,3,Potential
381,431,3,3809.23,1,3,3,At Risk
150,427,1,549.54,1,1,1,Lost
2402,426,2,1101.54,1,2,2,Lost
1074,426,2,3958.2,1,2,3,Potential
767,426,3,3157.15,1,2,3,Potential
4119,423,2,746.15,1,2,1,Lost
1089,423,2,1619.37,1,2,2,Lost
1484,422,1,545.04,1,1,1,Lost
3766,421,1,1924.72,1,1,2,Lost
3060,421,2,669.55,1,2,1,Lost
3489,420,1,1998.76,1,1,2,Lost
2448,420,3,1233.06,1,2,2,Lost
1067,419,2,930.97,1,2,2,Lost
1181,419,3,1998.01,1,2,2,Lost
1035,417,2,916.28,1,2,2,Lost
663,417,4,1453.55,1,3,2,At Risk
4334,416,1,570.34,1,1,1,Lost
2328,415,1,1129.66,1,1,2,Lost
4823,415,1,3193.44,1,1,3,Potential
4019,414,2,3657.34,1,2,3,Potential
4310,413,1,95.18,1,1,1,Lost
829,413,1,764.96,1,1,1,Lost
3506,412,1,353.4,1,1,1,Lost
781,412,2,2945.95,1,2,3,Potential
482,412,3,3401.78,1,3,3,At Risk
727,411,1,28.62,1,1,1,Lost
3056,411,1,37.68,1,1,1,Lost
2368,411,1,369.04,1,1,1,Lost
1836,409,1,22.57,1,1,1,Lost
2563,409,3,3318.62,1,3,3,At Risk
1151,408,2,1241.41,1,2,2,Lost
2940,407,1,698.82,1,1,1,Lost
2900,407,2,528.77,1,2,1,Lost
2795,407,3,1363.52,1,2,2,Lost
3008,406,2,639.99,1,2,1,Lost
2012,406,2,2182.67,1,2,3,Potential
3881,406,3,2186.21,1,2,3,Potential
4929,405,1,728.2,1,1,1,Lost
3065,405,1,1103.29,1,1,2,Lost
2450,404,1,40.96,1,1,1,Lost
290,404,2,1903.32,1,2,2,Lost
988,404,3,2987.69,1,2,3,Potential
2103,403,2,275.91,1,1,1,Lost
2924,403,4,1535.46,1,3,2,At Risk
4183,402,1,2358.04,1,1,3,Potential
3436,402,3,1239.22,1,2,2,Lost
2978,401,1,27.56,1,1,1,Lost
2217,401,1,1723.95,1,1,2,Lost
907,401,2,1441.52,1,2,2,Lost
2764,400,1,206.4,1,1,1,Lost
1082,400,1,427.78,1,1,1,Lost
989,399,1,114.17,1,1,1,Lost
441,399,2,1133.93,1,2,2,Lost
3661,398,1,1153.67,1,1,2,Lost
3448,398,2,742.74,1,2,1,Lost
1175,397,1,532.77,1,1,1,Lost
1742,397,1,1357.64,1,1,2,Lost
4605,397,2,1314.96,1,2,2,Lost
1327,396,1,175.44,1,1,1,Lost
4429,396,3,2104.75,1,2,2,Lost
4225,395,3,2958.86,1,2,3,Potential
646,393,3,1375.17,1,2,2,Lost
2269,391,3,1166.64,1,2,2,Lost
3034,390,1,368.62,1,1,1,Lost
2520,390,1,681.63,1,1,1,Lost
4951,389,2,1736.02,1,2,2,Lost
742,388,1,252.42,1,1,1,Lost
2161,388,1,346.59,1,1,1,Lost
1532,388,1,1039.7,1,1,2,Lost
2794,387,1,105.06,1,1,1,Lost
2387,387,1,167.79,1,1,1,Lost
2844,387,1,501.97,1,1,1,Lost
725,385,1,47.52,1,1,1,Lost
1301,385,1,215.49,1,1,1,Lost
3111,384,1,91.97,1,1,1,Lost
2597,384,1,183.29,1,1,1,Lost
217,384,1,392.6,1,1,1,Lost
4481,384,1,456.3,1,1,1,Lost
4660,384,1,626.07,1,1,1,Lost
4146,383,1,231.82,1,1,1,Lost
3505,383,1,1151.55,1,1,2,Lost
36,382,2,440.41,1,1,1,Lost
1748,382,2,640.07,1,2,1,Lost
2268,382,4,3438.13,1,3,3,At Risk
4485,380,1,24.07,1,1,1,Lost
3336,380,2,3172.78,1,2,3,Potential
872,379,1,163.82,1,1,1,Lost
1100,379,5,1794.93,1,3,2,At Risk
4362,377,2,740.56,1,2,1,Lost
2603,376,2,526.86,1,2,1,Lost
2397,376,2,1396.47,1,2,2,Lost
4184,376,3,1003.62,1,2,2,Lost
2903,376,3,4050.46,1,3,3,At Risk
653,376,4,2662.89,1,3,3,At Risk
4397,375,1,410.11,1,1,1,Lost
3975,374,2,663.41,1,2,1,Lost
4415,374,6,2239.59,1,3,3,At Risk
709,373,1,1072.48,1,1,2,Lost
4236,373,3,3100.52,1,2,3,Potential
3355,372,2,402.13,1,1,1,Lost
3821,371,1,77.36,1,1,1,Lost
28,371,5,2645.15,1,3,3,At Risk
3110,370,1,230.61,1,1,1,Lost
3378,370,1,1340.91,1,1,2,Lost
53,370,1,1437.87,1,1,2,Lost
2347,370,2,134.33,1,1,1,Lost
4268,369,1,170.43,1,1,1,Lost
4926,369,6,1492.29,1,3,2,At Risk
1278,368,2,1542.7,1,2,2,Lost
3675,367,1,324.94,1,1,1,Lost
3419,367,1,407.92,1,1,1,Lost
1782,366,3,1665.89,1,2,2,Lost
405,366,3,1759.47,1,2,2,Lost
2937,366,3,1911.99,1,2,2,Lost
1837,365,1,734.05,1,1,1,Lost
4582,360,1,97.28,1,1,1,Lost
2773,360,1,1171.48,1,1,2,Lost
4904,360,2,221.78,1,1,1,Lost
838,356,2,2024.12,1,2,2,Lost
3386,355,2,973.41,1,2,2,Lost
3805,354,1,467.01,1,1,1,Lost
4117,350,3,2054.44,1,2,2,Lost
3844,349,1,213.72,1,1,1,Lost
2989,349,1,774.58,1,1,1,Lost
3914,349,2,1624.96,1,2,2,Lost
1879,348,1,77.82,1,1,1,Lost
1880,346,2,761.01,1,2,1,Lost
1615,346,2,773.44,1,2,1,Lost
385,346,2,1463.41,1,2,2,Lost
4858,345,2,1547.44,1,2,2,Lost
523,344,1,101.48,1,1,1,Lost
2793,344,1,471.81,1,1,1,Lost
2168,343,1,952.24,1,1,2,Lost
1135,341,2,1065.07,1,2,2,Lost
874,339,1,221.17,1,1,1,Lost
455,339,1,402.0,1,1,1,Lost
2497,338,1,34.83,1,1,1,Lost
4753,338,3,2220.97,1,2,3,Potential
2753,336,2,1215.36,1,2,2,Lost
4243,336,3,446.68,1,2,1,Lost
1516,335,2,839.92,1,2,1,Lost
2149,334,1,788.9,1,1,1,Lost
4276,334,5,2547.88,1,3,3,At Risk
4619,333,3,4451.9,1,3,3,At Risk
1093,333,4,2277.54,1,3,3,At Risk
2032,333,5,5112.43,1,3,4,At Risk
2124,332,2,1050.21,1,2,2,Lost
1337,331,1,268.66,1,1,1,Lost
1060,331,1,2244.86,1,1,3,Potential
3267,330,1,364.36,1,1,1,Lost
3161,330,2,2508.15,1,2,3,Potential
1870,328,1,149.96,1,1,1,Lost
3729,327,1,764.44,1,1,1,Lost
3801,326,1,111.55,1,1,1,Lost
3840,326,6,5557.42,1,3,4,At Risk
1605,324,2,1410.54,1,2,2,Lost
2709,323,4,1629.54,1,3,2,At Risk
281,323,6,3321.0,1,3,3,At Risk
4145,322,1,816.39,1,1,1,Lost
2858,321,6,3438.8,1,3,3,At Risk
3010,320,1,793.93,1,1,1,Lost
4979,320,3,1671.3,1,2,2,Lost
4501,319,2,238.07,1,1,1,Lost
2647,319,3,1304.36,1,2,2,Lost
1773,319,3,1955.72,1,2,2,Lost
2477,318,4,1949.6,1,3,2,At Risk
1896,318,5,2359.46,1,3,3,At Risk
3856,317,3,1971.6,1,2,2,Lost
1972,316,3,4526.73,1,3,3,At Risk
3046,315,1,77.27,1,1,1,Lost
27,315,1,627.92,1,1,1,Lost
746,315,1,1217.67,1,1,2,Lost
2211,314,2,1846.78,1,2,2,Lost
2911,312,1,1028.75,1,1,2,Lost
4215,310,3,1811.27,1,2,2,Lost
4106,309,1,581.43,1,1,1,Lost
1706,309,1,917.03,1,1,2,Lost
2863,308,2,618.46,1,2,1,Lost
2908,308,2,1083.67,1,2,2,Lost
4911,308,3,1202.38,1,2,2,Lost
3700,308,4,3903.07,1,3,3,At Risk
900,307,1,209.25,1,1,1,Lost
183,307,1,3202.98,1,1,3,Potential
3512,307,2,3333.26,1,2,3,Potential
393,306,3,1594.19,1,2,2,Lost
3951,305,2,596.31,1,2,1,Lost
639,304,3,2907.24,1,2,3,Potential
2285,304,4,6011.27,1,3,4,At Risk
1421,303,2,621.52,1,2,1,Lost
585,303,2,839.99,1,2,1,Lost
1014,303,3,4454.16,1,3,3,At Risk
1812,303,5,2431.84,1,3,3,At Risk
4993,302,2,663.32,1,2,1,Lost
3925,302,2,1004.97,1,2,2,Lost
4493,302,2,1923.04,1,2,2,Lost
334,301,1,48.36,1,1,1,Lost
2583,300,1,76.34,1,1,1,Lost
46,300,1,138.29,1,1,1,Lost
998,300,1,262.23,1,1,1,Lost
25,300,1,349.85,1,1,1,Lost
3425,300,1,715.08,1,1,1,Lost
4627,300,2,438.35,1,1,1,Lost
1346,300,2,856.67,1,2,2,Lost
5000,299,1,1800.49,1,1,2,Lost
4202,299,2,179.25,1,1,1,Lost
1348,299,2,887.23,1,2,2,Lost
1534,298,2,174.16,1,1,1,Lost
3406,297,1,499.57,1,1,1,Lost
116,296,4,2782.46,1,3,3,At Risk
207,296,5,3900.15,1,3,3,At Risk
2722,295,1,432.32,1,1,1,Lost
2524,295,2,506.66,1,2,1,Lost
3929,295,2,1153.97,1,2,2,Lost
4311,294,2,496.67,1,1,1,Lost
2239,294,3,3685.38,1,3,3,At Risk
89,293,5,2755.56,1,3,3,At Risk
1783,292,1,465.09,1,1,1,Lost
4672,292,2,1146.72,1,2,2,Lost
418,291,2,1987.94,1,2,2,Lost
3555,290,1,104.35,1,1,1,Lost
4233,290,1,1466.43,1,1,2,Lost
468,290,1,2127.18,1,1,2,Lost
1803,288,1,992.8,1,1,2,Lost
3561,287,1,609.91,1,1,1,Lost
1815,287,6,4276.36,1,3,3,At Risk
319,284,3,578.81,1,2,1,Lost
883,284,4,3994.94,1,3,3,At Risk
2536,283,1,503.95,1,1,1,Lost
1260,283,4,1955.4,1,3,2,At Risk
4829,283,6,3824.5,1,3,3,At Risk
4623,282,1,35.37,1,1,1,Lost
1765,282,1,159.81,1,1,1,Lost
4449,282,6,2374.18,1,3,3,At Risk
1624,281,1,37.23,1,1,1,Lost
871,281,1,706.31,1,1,1,Lost
428,281,2,1046.66,1,2,2,Lost
4293,280,1,803.6,1,1,1,Lost
33,280,8,4012.56,1,4,3,At Risk
2310,279,3,3843.6,1,3,3,At Risk
3566,278,1,165.53,1,1,1,Lost
4022,278,2,858.86,1,2,2,Lost
3433,278,5,4478.55,1,3,3,At Risk
3296,277,2,985.68,1,2,2,Lost
4077,277,3,1254.91,1,2,2,Lost
940,277,3,1461.66,1,2,2,Lost
2634,277,3,2598.73,1,2,3,Potential
4105,276,1,586.25,1,1,1,Lost
4841,276,4,3444.31,1,3,3,At Risk
4612,275,4,1089.47,1,3,2,At Risk
4732,274,2,1127.01,1,2,2,Lost
2738,274,3,335.06,1,2,1,Lost
2403,272,2,1471.49,1,2,2,Lost
2946,271,1,967.14,1,1,2,Lost
1928,270,2,1167.81,1,2,2,Lost
63,270,3,2629.0,1,2,3,Potential
4666,270,4,1336.14,1,3,2,At Risk
3377,269,1,612.11,1,1,1,Lost
3864,268,2,1882.87,1,2,2,Lost
3090,267,1,2998.46,1,1,3,Potential
2357,267,3,3980.34,1,3,3,At Risk
18,267,9,6034.81,1,4,4,At Risk
1368,266,1,140.97,1,1,1,Lost
4262,265,1,76.26,1,1,1,Lost
2726,265,6,3118.59,1,3,3,At Risk
4859,264,1,69.88,1,1,1,Lost
3478,264,1,180.47,1,1,1,Lost
3782,264,1,1226.18,1,1,2,Lost
2304,264,2,646.61,1,2,1,Lost
2043,264,2,1140.91,1,2,2,Lost
2112,264,2,1547.61,1,2,2,Lost
2209,263,1,405.6,1,1,1,Lost
4247,263,1,851.78,1,1,1,Lost
4016,262,1,618.26,1,1,1,Lost
